datetime, Max, Min, Average
01/01/2017 00, 86.5, 52.2999992371, 62.62833334605167, 
01/01/2017 01, 93.0999984741, 74.5, 80.48000017802168, 
01/01/2017 02, 79.8000030518, 65.0999984741, 72.17666714986835, 
01/01/2017 03, 75.5999984741, 64.4000015259, 69.18333333333332, 
01/01/2017 04, 124, 70.8000030518, 76.58333269754168, 
01/01/2017 05, 84.6999969482, 59.4000015259, 66.21999956765998, 
01/01/2017 06, 100, 65.5, 81.58000045777003, 
01/01/2017 07, 146.199996948, 89.3000030518, 110.35833320616001, 
01/01/2017 08, 164.699996948, 133.399993896, 147.4399996439333, 
01/01/2017 09, 177.300003052, 114.099998474, 148.1233332316, 
01/01/2017 10, 195.699996948, 76.3000030518, 89.95833371482667, 
01/01/2017 11, 108.800003052, 54, 88.80999952951167, 
01/01/2017 12, 72, 43.9000015259, 54.111666615810016, 
01/01/2017 13, 70, 30, 41.16250006358333, 
01/01/2017 14, 98.4000015259, 54.2000007629, 68.52352950152549, 
01/01/2017 15, 94.5999984741, 61, 78.4741378652638, 
01/01/2017 16, 135.300003052, 62.2000007629, 97.0435899587923, 
01/01/2017 17, 228.699996948, 102.800003052, 137.6616666158, 
01/01/2017 18, 207.399993896, 164.899993896, 185.65333201080003, 
01/01/2017 19, 183.300003052, 159, 170.91599975584003, 
01/01/2017 20, 189.100006104, 150.600006104, 169.8464298249285, 
01/01/2017 21, 154.600006104, 98.5, 131.06666773024241, 
01/01/2017 22, 109.599998474, 89.8000030518, 92.99714311871715, 
01/01/2017 23, 134.199996948, 67.8000030518, 103.67118628548646, 
01/02/2017 00, 115.599998474, 99.4000015259, 106.32500012716834, 
01/02/2017 01, 115.400001526, 104.099998474, 108.37499974566668, 
01/02/2017 02, 109.5, 82.9000015259, 91.84166730245336, 
01/02/2017 03, 92.3000030518, 67.5, 82.51499989827333, 
01/02/2017 04, 74.4000015259, 56.2999992371, 61.79166647593335, 
01/02/2017 05, 88.5999984741, 58, 74.09333362579669, 
01/02/2017 06, 123.699996948, 86.3000030518, 103.45166651407332, 
01/02/2017 07, 157.899993896, 109.800003052, 135.22333335876664, 
01/02/2017 08, 180.300003052, 149.600006104, 158.58666737879997, 
01/02/2017 09, 253.5, 162.300003052, 187.6899993896, 
01/02/2017 10, 173.300003052, 115, 147.58333333333337, 
01/02/2017 11, 170.800003052, 97.6999969482, 126.44166577650002, 
01/02/2017 12, 115.900001526, 48.9000015259, 74.56833337148002, 
01/02/2017 13, 98.4000015259, 25.7000007629, 64.66000029246166, 
01/02/2017 14, 104.5, 19.8999996185, 35.51000010173001, 
01/02/2017 15, 52.5, 28.3999996185, 37.14999993642001, 
01/02/2017 16, 97.3000030518, 39.2000007629, 66.26500021616667, 
01/02/2017 17, 136.800003052, 62.5, 90.27166684469833, 
01/02/2017 18, 77.9000015259, 15.6999998093, 33.71500016849335, 
01/02/2017 19, 22.7999992371, 13, 18.25333336194333, 
01/02/2017 20, 23.2000007629, 12.8999996185, 17.971666685735002, 
01/02/2017 21, 21.8999996185, 11.6000003815, 15.004999971390001, 
01/02/2017 22, 13.8999996185, 9.10000038147, 11.216666682559831, 
01/02/2017 23, 16.7999992371, 11.3999996185, 14.214999977746666, 
01/03/2017 00, 21, 13.1000003815, 16.400000031793333, 
01/03/2017 01, 22.1000003815, 18.3999996185, 19.959999974575, 
01/03/2017 02, 23.8999996185, 17.7000007629, 20.181666628525, 
01/03/2017 03, 23.3999996185, 17.2999992371, 19.660000069933325, 
01/03/2017 04, 32.5, 18.2999992371, 24.114999898276672, 
01/03/2017 05, 40.7000007629, 33.0999984741, 36.99333318074499, 
01/03/2017 06, 56.4000015259, 39.2999992371, 45.48166662852, 
01/03/2017 07, 97.6999969482, 47.5, 69.441666539505, 
01/03/2017 08, 107.099998474, 84, 92.59999988696848, 
01/03/2017 09, 125, 67.4000015259, 96.483333079005, 
01/03/2017 10, 98.4000015259, 69.3000030518, 80.13499972025168, 
01/03/2017 11, 82.0999984741, 55.9000015259, 63.74833342235501, 
