datetime, Max, Min, Average
01/01/2017 00, 77.4000015259, 47.5, 56.55666656493835, 
01/01/2017 01, 81, 69.5, 73.46499989827332, 
01/01/2017 02, 72.4000015259, 58.7000007629, 65.323333104445, 
01/01/2017 03, 68.0999984741, 57.7000007629, 62.566666857398324, 
01/01/2017 04, 98.5, 66.5999984741, 70.07500012715832, 
01/01/2017 05, 72.8000030518, 54.2000007629, 59.54333330790666, 
01/01/2017 06, 84.5999984741, 60.2999992371, 71.52000000000001, 
01/01/2017 07, 126.900001526, 75.5999984741, 94.87666689555336, 
01/01/2017 08, 135, 119.5, 129.3116666158, 
01/01/2017 09, 144.800003052, 101, 128.53500061039998, 
01/01/2017 10, 102.5, 69.9000015259, 76.84166692098334, 
01/01/2017 11, 94, 50.0999984741, 78.28166650136, 
01/01/2017 12, 59.7999992371, 40.9000015259, 49.79999993641831, 
01/01/2017 13, 67.3000030518, 28.8999996185, 38.59411793128823, 
01/01/2017 14, 94, 51.5, 65.33921589570784, 
01/01/2017 15, 86.5, 57.2000007629, 72.66034507751554, 
01/01/2017 16, 125, 57.0999984741, 85.26249990463751, 
01/01/2017 17, 169.800003052, 89.8000030518, 110.18666648862835, 
01/01/2017 18, 158, 137.300003052, 149.83666636146665, 
01/01/2017 19, 156.300003052, 135.399993896, 144.10800109872002, 
01/01/2017 20, 154.5, 125.800003052, 141.3017246641379, 
01/01/2017 21, 130.899993896, 91.5, 113.73333300963029, 
01/01/2017 22, 94.5999984741, 78.3000030518, 83.4371435982943, 
01/01/2017 23, 112.199996948, 63, 96.71355864958306, 
01/02/2017 00, 104.5, 95.5, 98.76500015258998, 
01/02/2017 01, 104, 97.4000015259, 100.92166646319667, 
01/02/2017 02, 98.6999969482, 77.5, 84.45333264667833, 
01/02/2017 03, 84.3000030518, 64.0999984741, 77.1800001780217, 
01/02/2017 04, 64.9000015259, 54.5, 58.07166703542499, 
01/02/2017 05, 82.8000030518, 55.4000015259, 69.058333269755, 
01/02/2017 06, 100.699996948, 82.6999969482, 91.59666684468166, 
01/02/2017 07, 137.600006104, 98.3000030518, 117.11500002543002, 
01/02/2017 08, 150.800003052, 133.5, 139.99166666666667, 
01/02/2017 09, 197.399993896, 145.300003052, 163.2150001526001, 
01/02/2017 10, 148.399993896, 104.199996948, 130.5866661071333, 
01/02/2017 11, 119.599998474, 86.4000015259, 102.320000076295, 
01/02/2017 12, 84.5999984741, 43.5999984741, 62.26166674296501, 
01/02/2017 13, 78.6999969482, 21.8999996185, 53.58999973932833, 
01/02/2017 14, 44.9000015259, 15.1999998093, 26.081666676206666, 
01/02/2017 15, 44.7999992371, 20.8999996185, 28.029999923704995, 
01/02/2017 16, 76.1999969482, 27.2999992371, 50.06166664759168, 
01/02/2017 17, 89.1999969482, 49.7999992371, 65.58333326976002, 
01/02/2017 18, 50.2999992371, 15.3000001907, 27.861666711175, 
01/02/2017 19, 18.7000007629, 12, 15.996666701631662, 
01/02/2017 20, 21.2999992371, 11.6000003815, 16.3566666921, 
01/02/2017 21, 19.1000003815, 11.1000003815, 14.078333393729997, 
01/02/2017 22, 12.3000001907, 8.89999961853, 10.763333257039836, 
01/02/2017 23, 15.6999998093, 11, 13.750000015890006, 
01/03/2017 00, 20.2999992371, 13, 15.933333269750003, 
01/03/2017 01, 20.6000003815, 18, 19.233333428699993, 
01/03/2017 02, 23.3999996185, 17.3999996185, 19.698333358761662, 
01/03/2017 03, 23, 17, 19.113333320620008, 
01/03/2017 04, 30.7999992371, 17.7000007629, 23.440000025434998, 
01/03/2017 05, 38.0999984741, 31.7000007629, 35.78833306630667, 
01/03/2017 06, 51.4000015259, 37.4000015259, 42.96166667938166, 
01/03/2017 07, 89.8000030518, 45.7000007629, 65.00000000000168, 
01/03/2017 08, 96.8000030518, 79.4000015259, 86.82000011097456, 
01/03/2017 09, 110.900001526, 64, 90.06999982198334, 
