datetime, Max, Min, Average
01/01/2017 00, 158, 92.4000015259, 113.13333295186003, 
01/01/2017 01, 113, 88.4000015259, 97.59999999998496, 
01/01/2017 02, 107.099998474, 87.3000030518, 93.80333315529502, 
01/01/2017 03, 108.800003052, 79.5, 91.48500022888499, 
01/01/2017 04, 131.399993896, 75.9000015259, 97.16896491213448, 
01/01/2017 05, 108.800003052, 84.9000015259, 94.97833340962832, 
01/01/2017 06, 156.600006104, 99.3000030518, 123.23666547129665, 
01/01/2017 07, 173, 132.899993896, 152.64833348593336, 
01/01/2017 08, 186.899993896, 142.100006104, 160.59999898266668, 
01/01/2017 09, 176.399993896, 105.300003052, 152.10833282466666, 
01/01/2017 10, 129.5, 104.699996948, 111.7516667684, 
01/01/2017 11, 157.800003052, 78.5999984741, 116.64166653949333, 
01/01/2017 12, 103.300003052, 51, 61.85000025432167, 
01/01/2017 13, 66.5999984741, 35.5, 50.49500013986834, 
01/01/2017 14, 76.0999984741, 47, 58.071666399633315, 
01/01/2017 15, 102.800003052, -999, 46.48461561937309, 
01/01/2017 16, 119.900001526, 96.0999984741, 106.07118651827965, 
01/01/2017 17, 226.5, 100.400001526, 123.06101718193217, 
01/01/2017 18, 229.699996948, 122.599998474, 161.48833236686667, 
01/01/2017 19, 322.899993896, 210.199996948, 267.84999923695005, 
01/01/2017 20, 321.399993896, 240.5, 283.1083343506001, 
01/01/2017 21, 260, 228.600006104, 239.12166722620003, 
01/01/2017 22, 290.299987793, 183.800003052, 243.1616663614667, 
01/01/2017 23, 181, 150.600006104, 168.14385986329825, 
01/02/2017 00, 180.5, 136, 154.68333257033333, 
01/02/2017 01, 135.600006104, 109.400001526, 117.32166684469999, 
01/02/2017 02, 116.300003052, 92.9000015259, 107.4216669718633, 
01/02/2017 03, 96.6999969482, 83.9000015259, 89.48333346049168, 
01/02/2017 04, 118.599998474, 89.5, 101.96666628517833, 
01/02/2017 05, 135.5, 108.699996948, 119.63333307900004, 
01/02/2017 06, 125.800003052, 107.699996948, 117.82499961849999, 
01/02/2017 07, 155.399993896, 122.5, 143.85666669210002, 
01/02/2017 08, 191.800003052, 149, 168.28999888093338, 
01/02/2017 09, 185.899993896, 164.800003052, 174.7533322651333, 
01/02/2017 10, 200.699996948, 143.199996948, 161.0550008138667, 
01/02/2017 11, 255.199996948, 83.5, 105.59499969480667, 
01/02/2017 12, 202.5, 28.6000003815, 75.66833372117499, 
01/02/2017 13, 216.300003052, 42.9000015259, 99.46000010172834, 
01/02/2017 14, 60.2999992371, 23.7999992371, 34.189999898269996, 
01/02/2017 15, 51.9000015259, 37.2999992371, 43.028813442945776, 
01/02/2017 16, 173.899993896, 39.2000007629, 63.9440680035034, 
01/02/2017 17, 93.4000015259, 48.7999992371, 62.98644062624067, 
01/02/2017 18, 116.400001526, 27, 45.72881346234238, 
01/02/2017 19, 35.5, 18.2000007629, 22.727118766910174, 
01/02/2017 20, 29.5, 17.5, 22.41333322525334, 
01/02/2017 21, 27.2999992371, 14.6000003815, 17.825, 
01/02/2017 22, 20.7999992371, 11.5, 14.603333314266665, 
01/02/2017 23, 16, 12.1000003815, 13.411864410013559, 
01/03/2017 00, 17.8999996185, 14.3999996185, 16.471186314601695, 
01/03/2017 01, 27, 16.5, 20.388135651403392, 
01/03/2017 02, 27.2999992371, 20.2999992371, 24.003389811116957, 
01/03/2017 03, 31.6000003815, 25.8999996185, 28.322033898305083, 
01/03/2017 04, 60.0999984741, 26.7000007629, 42.943859468421046, 
01/03/2017 05, 67.8000030518, 48.5999984741, 55.93220338982881, 
01/03/2017 06, 67.0999984741, 53.5999984741, 60.31864444280847, 
01/03/2017 07, 103.199996948, 64.8000030518, 82.19310352719654, 
01/03/2017 08, 102.400001526, 83.9000015259, 91.14500045778001, 
01/03/2017 09, 105.599998474, 71.6999969482, 84.36724130038797, 
01/03/2017 10, 81.9000015259, 56.5999984741, 67.3472726995291, 
01/03/2017 11, 72.0999984741, 53.5999984741, 57.3370371218037, 
01/03/2017 12, 70.5, 53, 57.94901963776668, 
01/03/2017 13, 60.5999984741, 32.5, 39.79999993772041, 
