datetime, Max, Min, Average
11/01/2016 00, 35.2000007629, 29.1000003815, 31.683333396916666, 
11/01/2016 01, 42.5999984741, 29.1000003815, 32.2833331426, 
11/01/2016 02, 36.5, 31.2999992371, 33.11666615803333, 
11/01/2016 03, 49.7999992371, 37.7999992371, 43.94999949138333, 
11/01/2016 04, 40.9000015259, 36.0999984741, 38.75, 
11/01/2016 05, 50.7000007629, 36.2000007629, 42.900000890083334, 
11/01/2016 06, 127.599998474, 60.9000015259, 77.57999954222001, 
11/01/2016 07, 66.6999969482, 54.7999992371, 58.26666641235, 
11/01/2016 08, 85.6999969482, 71, 80.21666590371667, 
11/01/2016 09, 84.6999969482, 60.7999992371, 72.18333244323334, 
11/01/2016 10, 60.2000007629, 42.9000015259, 48.13333384195, 
11/01/2016 11, 59.5, 14.6000003815, 37.73333326978333, 
11/01/2016 12, 24, 17, 19.816666920983334, 
11/01/2016 13, 20.2999992371, 17.8999996185, 18.983333269733333, 
11/01/2016 14, 18.5, 14, 15.849999904633334, 
11/01/2016 15, 21.3999996185, 13.5, 18.7499996821, 
11/01/2016 16, 25.5, 18.7999992371, 21.300000190733332, 
11/01/2016 17, 23.6000003815, 19.5, 21.249999682116666, 
11/01/2016 18, 36.7000007629, 26.7000007629, 31.98333390551667, 
11/01/2016 19, 80.6999969482, 46.7000007629, 61.29999987285, 
11/01/2016 20, 64, 56, 60.48333358765, 
11/01/2016 21, 51.7999992371, 26.2000007629, 37.833333969116666, 
11/01/2016 22, 26.8999996185, 20.7000007629, 23.850000063566668, 
11/01/2016 23, 54.2000007629, 22.7000007629, 30.1500002543, 
11/02/2016 00, 30.5, 20.7999992371, 24.233333269766664, 
11/02/2016 01, 21.3999996185, 19.1000003815, 19.75, 
11/02/2016 02, 20.8999996185, 17.7000007629, 19.483333269733336, 
11/02/2016 03, 25, 17.1000003815, 20.15000025431667, 
11/02/2016 04, 27.7000007629, 19.5, 22.483333587649998, 
11/02/2016 05, 37.7999992371, 26.5, 30.916666348783334, 
11/02/2016 06, 77.5999984741, 46, 56.94999949136667, 
11/02/2016 07, 61.5999984741, 40.2000007629, 48.41666666665, 
11/02/2016 08, 65.9000015259, 50.5999984741, 57.18333307901667, 
11/02/2016 09, 54.0999984741, 46, 50.49999936423333, 
11/02/2016 10, 43.2000007629, 37.2000007629, 40.566666920950006, 
11/02/2016 11, 34.7000007629, 14.8999996185, 23.6166671117, 
11/02/2016 12, 16.7999992371, 11.3000001907, 13.666666348766668, 
11/02/2016 13, 14.8999996185, 8.60000038147, 12.40000009536167, 
11/02/2016 14, 27.1000003815, 11, 15.733333587633332, 
11/02/2016 15, 25.7999992371, 16.6000003815, 19.7166668574, 
11/02/2016 16, 18.7999992371, 14.3000001907, 16.75, 
11/02/2016 17, 39.4000015259, 16.7000007629, 23.133333841966664, 
11/02/2016 18, 29.2999992371, 20.8999996185, 24.999999682116666, 
11/02/2016 19, 60.2999992371, 25.3999996185, 42.18333307903333, 
11/02/2016 20, 58.5, 44.4000015259, 52.033333460499996, 
11/02/2016 21, 45.2000007629, 16.6000003815, 28.9666668574, 
11/02/2016 22, 40.0999984741, 25.2999992371, 33.933332761133336, 
11/02/2016 23, 39.7999992371, 23.6000003815, 30.983333587666667, 
11/03/2016 00, 37.0999984741, 25.2999992371, 31.1333325704, 
11/03/2016 01, 43.4000015259, 32.5999984741, 36.416666030883334, 
11/03/2016 02, 26.7000007629, 23.1000003815, 25.38333384195, 
11/03/2016 03, 26.1000003815, 22.8999996185, 24.600000063566668, 
11/03/2016 04, 36.7999992371, 25.1000003815, 31.07999992374, 
11/03/2016 05, 54.2000007629, 31.2000007629, 42.033334096266664, 
11/03/2016 06, 167.800003052, 58.2999992371, 103.18333498646666, 
11/03/2016 07, 80.1999969482, 55.2999992371, 66.64999898273334, 
11/03/2016 08, 67.9000015259, 56.5, 62.283333460483334, 
11/03/2016 09, 60.0999984741, 33.5, 48.16666603086667, 
11/03/2016 10, 40, 28.8999996185, 32.583333333316666, 
11/03/2016 11, 19.3999996185, 13.8999996185, 16.316666444133336, 
11/03/2016 12, 18.1000003815, 12.8999996185, 14.866666475916666, 
11/03/2016 13, 13, 9.30000019073, 11.66666666666, 
11/03/2016 14, 28.8999996185, 20.2999992371, 24.7833331426, 
11/03/2016 15, 24.2999992371, 17.2999992371, 20.159999847420004, 
11/03/2016 16, 22.8999996185, 16.3999996185, 19.766666412366664, 
11/03/2016 17, 41.2000007629, 24.5, 34.03333346046667, 
11/03/2016 18, 60, 20.3999996185, 33.73333326975, 
11/03/2016 19, 80.3000030518, 56.2000007629, 64.16666730245, 
11/03/2016 20, 63.2000007629, 52.2999992371, 56.150000254316666, 
11/03/2016 21, 48, 36.4000015259, 42.83333396913333, 
11/03/2016 22, 44.9000015259, 36.0999984741, 40.600000381466664, 
11/03/2016 23, 55.2000007629, 33.2000007629, 43.73333358763333, 
11/04/2016 00, 39.5, 30.7000007629, 34.716666539500004, 
11/04/2016 01, 47.4000015259, 22.2000007629, 31.600000699366664, 
